"Drug Name","Active Ingredient","Form; Route","Appl. No.","Company","Date","URL"
"ABACAVIR and LAMIVUDINE","ABACAVIR SULFATE;LAMIVUDINE","TABLET;ORAL","204311","MYLAN LABORATORIES LIMITED","12/22/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204311s000lbl.pdf#page=34"
"ABILIFY","ARIPIPRAZOLE","SOLUTION;ORAL","021713","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"ABILIFY","ARIPIPRAZOLE","TABLET, ORALLY DISINTEGRATING;ORAL","021729","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"ABILIFY","ARIPIPRAZOLE","TABLET;ORAL","021436","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021436s048lbl.pdf#page=47"
"ABILIFY","ARIPIPRAZOLE","INJECTABLE;INTRAMUSCULAR","021866","OTSUKA","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
"ABILIFY MAINTENA KIT","ARIPIPRAZOLE","FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","202971","OTSUKA PHARM CO LTD","02/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202971s013lbl.pdf#page=52"
"ABILIFY MYCITE KIT","ARIPIPRAZOLE","TABLET;ORAL","207202","OTSUKA","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207202s006lbl.pdf#page=64"
"ABRILADA","ADALIMUMAB-AFZB","INJECTABLE;INJECTION","761118","PFIZER INC","10/04/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761118s007lbl.pdf#page=47"
"ABSORICA","ISOTRETINOIN","CAPSULE;ORAL","021951","SUN PHARM INDS INC","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021951s013lbl.pdf#page=32"
"ABSTRAL","FENTANYL CITRATE","TABLET;SUBLINGUAL","022510","SENTYNL THERAPS INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022510s018lbl.pdf#page=29"
