Drug Name,Active Ingredient,Form; Route,Date,URL
abacavir and lamivudine,abacavir sulfate;lamivudine,TABLET;ORAL,12/22/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204311s000lbl.pdf#page=34
abilify,aripiprazole,SOLUTION;ORAL,02/05/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
abilify,aripiprazole,"TABLET, ORALLY DISINTEGRATING;ORAL",02/05/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
abilify,aripiprazole,TABLET;ORAL,11/30/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021436s048lbl.pdf#page=47
abilify,aripiprazole,INJECTABLE;INTRAMUSCULAR,02/05/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021436s044s045,021713s035s036,021729s027s028,021866s029s030lbl.pdf#page=77"
abilify maintena kit,aripiprazole,"FOR SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",02/05/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202971s013lbl.pdf#page=52
abilify mycite kit,aripiprazole,TABLET;ORAL,11/30/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/207202s006lbl.pdf#page=64
abrilada,adalimumab-afzb,INJECTABLE;INJECTION,10/04/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761118s007lbl.pdf#page=47
absorica,isotretinoin,CAPSULE;ORAL,07/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021951s013lbl.pdf#page=32
abstral,fentanyl citrate,TABLET;SUBLINGUAL,10/07/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022510s018lbl.pdf#page=29
accutane,isotretinoin,CAPSULE;ORAL,10/22/2010,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018662s061MedGuide.pdf
aciphex,rabeprazole sodium,"TABLET, DELAYED RELEASE;ORAL",07/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020973s043lbl.pdf#page=34
aciphex sprinkle,rabeprazole sodium,"CAPSULE, DELAYED RELEASE;ORAL",11/27/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204736s012lbl.pdf#page=21
actemra,tocilizumab,INJECTABLE; INJECTION,09/20/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125276s144,125472s056lbl.pdf#page=55"
actemra,tocilizumab,"INJECTABLE;INTRAVENOUS, SUBCUTANEOUS",09/20/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125276s144,125472s056lbl.pdf#page=55"
acthar gel,corticotropin,INJECTABLE;INJECTION,02/29/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008372s071lbl.pdf#page=17
actiq,fentanyl citrate,TROCHE/LOZENGE;TRANSMUCOSAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020747s062lbl.pdf#page=44
actonel,risedronate sodium,TABLET;ORAL,11/05/2019,http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf#page=38
actonel with calcium (copackaged),calcium carbonate; risedronate sodium,TABLET;ORAL,04/08/2015,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021823s011lbl.pdf#page=27
actoplus met,metformin hydrochloride; pioglitazone hydrochloride,TABLET;ORAL,12/21/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021842s022lbl.pdf#page=41
actoplus met xr,metformin hydrochloride; pioglitazone hydrochloride,"TABLET, EXTENDED RELEASE;ORAL",12/21/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022024s014lbl.pdf#page=41
actos,pioglitazone hydrochloride,TABLET;ORAL,12/21/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021073s049lbl.pdf#page=35
adasuve,loxapine,POWDER;INHALATION,02/01/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022549s010lbl.pdf#page=28
adderall 10,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15
adderall 12.5,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15
adderall 15,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15
adderall 20,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15
adderall 30,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,02/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15
adderall 5,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,02/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15
adderall 7.5,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,TABLET;ORAL,02/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15
adderall xr 10,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22
adderall xr 15,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22
adderall xr 20,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22
adderall xr 25,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22
adderall xr 30,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",07/03/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24
